#ies_format_version: 1.0
#file: 20250819_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	register1;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	register1
20250819;	121700;	1755586020.000;	           0
20250819;	121704;	1755586024.000;	         102
20250819;	121708;	1755586028.000;	         103
20250819;	121712;	1755586032.000;	         103
20250819;	121716;	1755586036.000;	         104
20250819;	121720;	1755586040.000;	         105
20250819;	121724;	1755586044.000;	         106
20250819;	121728;	1755586048.000;	         107
20250819;	121732;	1755586052.000;	         107
20250819;	121736;	1755586056.000;	         108
20250819;	121740;	1755586060.000;	       err32
20250819;	121744;	1755586064.000;	       err32
20250819;	121748;	1755586068.000;	       err32
20250819;	121752;	1755586072.000;	       err32
20250819;	121756;	1755586076.000;	       err32
20250819;	121800;	1755586080.000;	       err32
20250819;	121804;	1755586084.000;	       err32
20250819;	121808;	1755586088.000;	       err32
20250819;	121812;	1755586092.000;	       err32
20250819;	121816;	1755586096.000;	       err32
20250819;	121820;	1755586100.000;	       err32
20250819;	121824;	1755586104.000;	        err7
20250819;	121828;	1755586108.000;	         108
20250819;	121832;	1755586112.000;	         102
20250819;	121836;	1755586116.000;	         103
20250819;	121840;	1755586120.000;	         104
20250819;	121844;	1755586124.000;	         105
20250819;	121848;	1755586128.000;	         105
20250819;	121852;	1755586132.000;	         106
20250819;	121856;	1755586136.000;	         107
20250819;	121900;	1755586140.000;	         108
20250819;	121904;	1755586144.000;	         109
20250819;	121908;	1755586148.000;	         109
20250819;	121912;	1755586152.000;	         110
20250819;	121916;	1755586156.000;	         111
20250819;	121920;	1755586160.000;	         112
20250819;	121924;	1755586164.000;	         113
20250819;	121928;	1755586168.000;	         113
20250819;	121932;	1755586172.000;	         114
20250819;	121936;	1755586176.000;	         115
20250819;	121940;	1755586180.000;	         116
20250819;	121944;	1755586184.000;	         117
20250819;	121948;	1755586188.000;	         117
20250819;	121952;	1755586192.000;	         118
20250819;	121956;	1755586196.000;	         119
20250819;	122000;	1755586200.000;	         120
20250819;	122004;	1755586204.000;	         121
20250819;	122008;	1755586208.000;	         121
20250819;	122012;	1755586212.000;	         122
20250819;	122016;	1755586216.000;	         123
20250819;	122020;	1755586220.000;	         124
20250819;	122024;	1755586224.000;	         125
20250819;	122028;	1755586228.000;	         125
20250819;	122032;	1755586232.000;	         126
20250819;	122036;	1755586236.000;	         127
20250819;	122040;	1755586240.000;	         128
20250819;	122044;	1755586244.000;	         129
20250819;	122048;	1755586248.000;	       err32
20250819;	122052;	1755586252.000;	       err32
20250819;	122056;	1755586256.000;	       err32
20250819;	122100;	1755586260.000;	       err32
20250819;	122104;	1755586264.000;	       err32
20250819;	122108;	1755586268.000;	       err32
20250819;	122112;	1755586272.000;	       err32
20250819;	122116;	1755586276.000;	         129
20250819;	122120;	1755586280.000;	         102
20250819;	122124;	1755586284.000;	         103
20250819;	122128;	1755586288.000;	         104
20250819;	122132;	1755586292.000;	         104
20250819;	122136;	1755586296.000;	         105
20250819;	122140;	1755586300.000;	         106
20250819;	122144;	1755586304.000;	         107
20250819;	122148;	1755586308.000;	       err32
20250819;	122152;	1755586312.000;	       err32
20250819;	122156;	1755586316.000;	       err32
20250819;	122200;	1755586320.000;	       err32
20250819;	122204;	1755586324.000;	       err32
20250819;	122208;	1755586328.000;	       err32
20250819;	122212;	1755586332.000;	       err32
20250819;	122216;	1755586336.000;	       err32
20250819;	122220;	1755586340.000;	       err32
20250819;	122224;	1755586344.000;	       err32
20250819;	122228;	1755586348.000;	       err32
20250819;	122232;	1755586352.000;	       err32
20250819;	122236;	1755586356.000;	       err32
20250819;	122240;	1755586360.000;	       err32
20250819;	122244;	1755586364.000;	       err32
20250819;	122248;	1755586368.000;	       err32
20250819;	122252;	1755586372.000;	       err32
20250819;	122256;	1755586376.000;	       err32
20250819;	122300;	1755586380.000;	       err32
20250819;	122304;	1755586384.000;	       err32
20250819;	122308;	1755586388.000;	       err32
20250819;	122312;	1755586392.000;	       err32
20250819;	122316;	1755586396.000;	       err32
20250819;	122320;	1755586400.000;	       err32
20250819;	122324;	1755586404.000;	       err32
20250819;	122328;	1755586408.000;	       err32
20250819;	122332;	1755586412.000;	       err32
20250819;	122336;	1755586416.000;	       err32
20250819;	122340;	1755586420.000;	       err32
20250819;	122344;	1755586424.000;	       err32
20250819;	122348;	1755586428.000;	       err32
20250819;	122352;	1755586432.000;	       err32
20250819;	122356;	1755586436.000;	       err32
20250819;	122400;	1755586440.000;	       err32
20250819;	122404;	1755586444.000;	       err32
20250819;	122408;	1755586448.000;	       err32
20250819;	122412;	1755586452.000;	       err32
20250819;	122416;	1755586456.000;	       err32
20250819;	122420;	1755586460.000;	       err32
20250819;	122424;	1755586464.000;	       err32
20250819;	122428;	1755586468.000;	       err32
20250819;	122432;	1755586472.000;	       err32
20250819;	122436;	1755586476.000;	       err32
20250819;	122440;	1755586480.000;	       err32
20250819;	122444;	1755586484.000;	       err32
20250819;	122448;	1755586488.000;	       err32
20250819;	122452;	1755586492.000;	       err32
20250819;	122456;	1755586496.000;	       err32
20250819;	122500;	1755586500.000;	       err32
20250819;	122504;	1755586504.000;	       err32
20250819;	122508;	1755586508.000;	       err32
20250819;	122512;	1755586512.000;	        err7
20250819;	122516;	1755586516.000;	         263
20250819;	122520;	1755586520.000;	         267
20250819;	122524;	1755586524.000;	         271
20250819;	122528;	1755586528.000;	         275
20250819;	122532;	1755586532.000;	         279
20250819;	122536;	1755586536.000;	         283
20250819;	122540;	1755586540.000;	         287
20250819;	122544;	1755586544.000;	         291
20250819;	122548;	1755586548.000;	         295
20250819;	122552;	1755586552.000;	         299
20250819;	122556;	1755586556.000;	         303
20250819;	122600;	1755586560.000;	         307
20250819;	122604;	1755586564.000;	         311
20250819;	122608;	1755586568.000;	         315
20250819;	122612;	1755586572.000;	         319
20250819;	122616;	1755586576.000;	         323
20250819;	122620;	1755586580.000;	         327
20250819;	122624;	1755586584.000;	         331
20250819;	122628;	1755586588.000;	         335
20250819;	122632;	1755586592.000;	         339
20250819;	122636;	1755586596.000;	         343
20250819;	122640;	1755586600.000;	         347
20250819;	122644;	1755586604.000;	         351
20250819;	122648;	1755586608.000;	         355
20250819;	122652;	1755586612.000;	         359
20250819;	122656;	1755586616.000;	         363
20250819;	122700;	1755586620.000;	         367
20250819;	122704;	1755586624.000;	         371
20250819;	122708;	1755586628.000;	         375
20250819;	122712;	1755586632.000;	         379
20250819;	122716;	1755586636.000;	         383
20250819;	122720;	1755586640.000;	         387
20250819;	122724;	1755586644.000;	         391
20250819;	122728;	1755586648.000;	         395
20250819;	122732;	1755586652.000;	         399
20250819;	122736;	1755586656.000;	         403
20250819;	122740;	1755586660.000;	         407
20250819;	122744;	1755586664.000;	         411
20250819;	122748;	1755586668.000;	         415
20250819;	122752;	1755586672.000;	         419
20250819;	122756;	1755586676.000;	         423
20250819;	122800;	1755586680.000;	         427
20250819;	122804;	1755586684.000;	         431
20250819;	122808;	1755586688.000;	         435
20250819;	122812;	1755586692.000;	         439
20250819;	122816;	1755586696.000;	         443
20250819;	122820;	1755586700.000;	         447
20250819;	122824;	1755586704.000;	         451
20250819;	122828;	1755586708.000;	         455
20250819;	122832;	1755586712.000;	         459
20250819;	122836;	1755586716.000;	         463
20250819;	122840;	1755586720.000;	         467
20250819;	122844;	1755586724.000;	         471
20250819;	122848;	1755586728.000;	         475
20250819;	122852;	1755586732.000;	         479
20250819;	122856;	1755586736.000;	         483
20250819;	122900;	1755586740.000;	         487
